,Judul Berita,Isi Berita,Kelas Berita
1,"Usai Gelar Doa Bersama, Prabowo Target Raih 63 Persen Suara","Jakarta, CNN Indonesia -- Calon Presiden Nomor Urut 02 Prabowo SubiantoÂ percaya diri akan memenangi Pilpres 2019Â dengan persentase kemenangan yang cukup fantastis. Saat menggelar konperensi pers setelah menggelar doa bersama dengan para petinggi Partai Politik Koalisi dan Petinggi Badan Pemenangan Nasional (BPN) serta sejumlah ulama di rumahnya yang berlokasi di Kertanegara IV, Prabowo yakin bisa menang telak dari Joko Widodo yang merupakan lawan politiknya. ""Alhamdulillah kita melihat kita merasa sangat yakin kita berada di ambang kemenangan,"" kata Prabowo di kediamannya, Kertanegara IV, Jakarta Selatan, Selasa (16/4) malam.   Prabowo juga mengklaim angka kemenangan yang dia dapatkan bisa di atas 50 persen, yakni 63,26 persen kemenangan yang dia dapatkan. ""Namanya kalau ramal boleh dong. (target) 63 persen. Sebetulnya kita hitung 63,26 persen. 63 persen gak apa-apa lah,"" katanya. Hal ini kata dia telah terbukti dari tanda-tanda kemenangan yang telah terjadi selama ini. Apalagi kata dia hal ini juga terlihat di pemilihan luar negeri yang digelar lebih dulu bahwa dirinya telah memenangi Pilpres di beberapa negara. ""Kita lihat tanda-tanda dari luar negeri yang sudah melaksanakan Pemilu, kita menang secara meyakinkan di banyak tempat walaupun banyak hambatan dan keanehan-keanehan tetapi tetap saya yakin ujungnya kehendak daripada pemilih tidak dapat dibendung,"" kata dia.Maka dari itu, ia pun mengucapkan kepada semua pihak yang sudah mendukung Prabowo-Sandi selama perhelatan pilpres ini. ""Saya kira itu dari kami saya ucapkan terima kasih kepada semua unsur,"" imbuhnya.Dalam kesempatan itu, Prabowo juga sempat ditanya oleh salah satu media asing yang hadir dalam kegiatan itu terkait apa yang akan dia lakukan jika dirinya kalah dalam Pilpres. Prabowo pun kemudian menjawab pertanyaan tersebut dengan peribahasa inggris. ""I'll cross that bridge when I come to it,"" kata Prabowo yang langsung disambut tawa oleh media yang hadir di konpers tersebut. Prabowo bahkan sempat berjoged saat menjawab pertanyaan dari media asing ini. Dia yakin jika Prabowo-Sandi akan menang di Pilpres ini. Adapun istilah yang digunakan Prabowo ini jika merujuk ke dictionary.cambridge.org berarti hal atau sesuatu yang diucapkan seseorang ketika orang tersebut tidak merasa khawatir tentang kemungkinan masalah yang belum terjadi, namun jika hal itu terjadi dia akan menanganinya ketika hal itu tiba. Dalam kesempatan itu, Prabowo juga mengatakan bahwa dirinya akan bersiap di Tempat Pemungutan Suara (TPS) sejak pukul 6.30 WIB sesuai arahan dari BPN hingga TPS dibuka untuk langsung memberikan hak suara tepat pukul 7.00 WIB di Bojong Koneng, Bogor. ""Saya di Bojong Koneng. Saya jam setengah tujuh dari situ. Saya disuruh jam segitu saya nurut,"" katanya.",Negatif
2,"Kubu Prabowo Klaim Menang Versi Exit Poll, PDIP: Kami Tak Khawatir","Liputan6.com, Jakarta - Sekjen PDI Perjuangan Hasto Kristiyanto mengaku tak khawatir dengan klaim sepihak dari kubu Badan Pemenangan Nasional (BPN) Prabowo-Sandiaga Uno yang mengaku menjadi pemenang Pilpres.Â  Menurutnya, klaim tersebut juga pernah terjadi pada Pemilu 2014 lalu. ""Kami tidak khawatir karena 2014 pun dulu juga terjadi. Bahkan sampai ada lembaga-lembaga survei yang kemudian mendapatkan sebuah sanksi karena ketidakmampuan mempertanggungjawabkan metodologi itu,"" ujar Hasto di kediaman Ketum PDIP Megawati Soekarnoputri, Kebagusan, Jakarta Selatan, Rabu (17/4/2019). Hasto meminta publik lebih percaya quick count yang dikeluarkan oleh lembaga surveiÂ yang kredibel. Lebih dari itu, publikÂ juga dimintaÂ hanya berpatokan padaÂ hasil penghitungan suara yang dilakukan Komisi Pemilihan Umum (KPU) secara manual.Â  ""Karena itu,Â sejak awal kami mengedepankan bahwa semangat persatuan persaudaraan jauh lebih penting. Dari lembaga-lembaga independen, termasuk yang kami lakukan secara internal sekalipun, itu menunjukkan bahwa rakyat memberikan dukungan bagi Pak Jokowi dengan angka dan selisih yang cukup jauh dengan Pak Prabowo dan Pak Sandi,"" tutur dia.",Negatif
3,"Yenny Wahid: Jokowi Bukan Orang 'Ge-eran', Tak Mau Dahului Kehendak","Putri Presiden RI ke-4 Abudrrahman Wahid (Gus Dur) Yenny Wahid, bicara soal alasan capres Joko Widodo (Jokowi) tidak mendeklarasikan kemenangan, meski diunggulkan berdasarkan hasil hitung cepat berbagai lembaga survei. Yenny menyebut, Jokowi tetap menunggu hasil resmi dari Komisi Pemilihan Umum (KPU).Yenny mengatakan, Jokowi merupakan sosok yang rendah hati. Jokowi juga bukan tipikal pribadi yang mudah merasa alias 'ge-er'. ""Pak Jokowi kan orangnya rendah hati dan sederhana. Beliau bukan orang yg suka 'ge-eran'. Beliau tidak ingin mendahului kehendak ya,"" kata di Gedung Djakarta Theatre, Jl MH Thamrin, Jakarta Pusat, Rabu (17/4/2019).  Yenny mengatakan, selisih suara berdasarkan hasil hitung cepat itu juga cukup jauh. Sehingga dia yakin hasil hitung cepat lembaga survei itu tidak berbeda jauh dengan hasil KPU nanti.""Walaupun semua rata-rata quick count menunjukkan Pak Jokowi dan margin cukup jauh, sehingga walaupun ada perbedaan dengan KPU nanti hasil suara, perbedaan pasti sedikit sekali. Tidak akan berpengaruh. Tetap hasilnya Pak Jokowi akan tetap menang. Namun beliau akan patuh pada konstitusi, UU, dan lembaga-lembaga berwenang untuk mengumumkan hasil pemilu secara resmi,"" jelasnya.Yenny juga mengatakan, dia ingin suara yang harus didengar itu adalah hasil dari KPU. Apapun keputusan KPU nanti, itulah yang harus diikuti.""Kita ingin pihak yang memang punya kewenangan yang memastikan pemilu itulah suara yang harus didengar semua masyarakat. Karena KPU adalah pihak yang independen. Semua harus mengikuti hasil KPU. Walaupun dari pihak 01 cukup percaya diri akan ditetapkan sebagai pemenang,"" katanya.""Kita tidak ingin bersikap arogan dan mendeklarasikan kemenangan terlalu dini. Yang ingin kita lakukan adalah kita biarkan saja. Biarkan opini di masyarakat itu berdasarkan data-data yang dilansir pihak independen,"" tuturnya.",Negatif
4,"Quick Count LSI Denny JA 98,85%: Jokowi 55,71% Prabowo 44,29%","Berbagai lembaga survei menggelar hitung cepat (quick count) seusai pemungutan suara Pemilu 2019, salah satunya Lingkaran Survei Indonesia (LSI Denny JA). Hasil sementara hitung cepat Pilpres 2019 mengunggulkan Jokowi-Ma'ruf Amin. Hingga pukul 22.26 WIB, data yang masuk ke quick count LSI Denny JA sebesar 98,85%. Berikut ini hasilnya:01. Jokowi-Ma'ruf: 55,71%02. Prabowo-Sandiaga: 44,29%  Quick count atau hitung cepat adalah metode verifikasi hasil pemilihan umum yang dilakukan dengan menghitung persentase hasil pemilu di tempat pemungutan suara (TPS) yang dijadikan sampel. Hasil quick count ini merupakan hasil sementara. Hingga saat ini, data terbaru masih masuk ke lembaga survei yang mengadakan quick count. Data quick count bukan hasil resmi Pilpres 2019. Hasil resmi pemilu menunggu penghitungan suara secara manual dari KPU.",Positif
5,Prabowo - Sandi unggul sementara di Kaitetu,"Ambon (ANTARA) - Pasangan calon presiden dan wakil presiden nomor urut 02 Prabowo Subianto dan Sandiaga Salahuddin UnoÂ unggul sementara dengan 783 suara dari total 1.159 pemilih yang berpartisipasi di enam tempat pemungutan suara (TPS) di Desa Kaitetu, Kecamatan Leihitu, Kabupaten Maluku Tengah, Rabu.  Pantauan Antara, jumlah Daftar Pemilih Tetap (DPT) di Desa Kaitetu mencapai 1.762 orang tersebar di enam TPS di yang ada. Dari total DPT tersebut, tercatat hanya 1.171 yang menyalurkan hak pilihnya untuk pemilihan presiden dan wakil presiden.  Dari 1.171 suara yang disalurkan, hanya 1.159 surat suara yang dinilai sah oleh kelompok penyelenggara pemungutan suara (KPPS) setempat, sementara 12 suara lainnya dianggap tidak sah karena mencoblos kedua pasangan calon sekaligus.  Hasil perhitungan surat suara secara manual oleh KPPS di enam TPS yang ada, pasangan Prabowo - Sandi unggul 783 suara dari total 1.159 surat suara sah. Sedangkan pasangan capres dan cawapres nomor urut 01 Jokowi - Ma'ruf hanya mendapatkan 378 suara.  Pasangan capres-capres Prabowo - Sandi tercatat unggul tinggi hampir di semua TPS yang ada Desa Kaitetu.  TPS 01 dengan daftar pemilih tetap (DPT) sebanyak 285 orang misalnya. Dari 205 surat suara yang sah, pasangan Prabowo - Sandi unggul sebanyak 154 suara, sedangkan Jokowi - Ma'ruf hanya 50 suara.  Pasangan Prabowo - Sandi juga unggul tinggi di TPS 02 dengan perolehan suara sebanyak 165 suara dari total 218 surat suara sah, sementara pasangan Jokowi Ma'ruf hanya 62 suara.  Sementara di TPS 03, pasangan Prabowo - Sandi mengungguli Jokowi - Ma'ruf dengan 118 suara dari total 165 surat suara sah. Di TPS dengan DPT sebanyak 299 orang tersebut, pasangan Jokowi - Ma'ruf hanya mendapatkan 47 suara.  Pasangan Prabowo - Sandi juga terlihat unggul tinggi TPS 04 yang memiliki jumlah DPT mencapai 298 orang. Di TPS ini Prabowo - Sandi unggul 140 suara dari total 192 surat suara sah, sementara Jokowi - Ma'ruf hanya 52 suara.  Sementara untuk TPS 05 dengan total DPT 298 orang, Prabowo - Sandi unggul dengan 83 suara dari 162 surat suara yang sah, sedangkan Jokowi - Ma'ruf hanya 73 suara.  Untuk TPS 06 dengan jumlah DPT 287 orang, Prabowo - Sandi menang dengan 123 suara dari total 217 surat suara sah, Jokowi - Ma'ruf hanya 94 suara.*",Positif
6,"Disebut Bagian 1 Persen Elite Kuasai Ekonomi, Prabowo: Memang Betul, Tapi...","Liputan6.com, Jakarta - Capres Prabowo Subianto menyatakan, dirinya memang menjadi bagian 1 persen elite yang mebuasai ekonomi Indonesia. Namun, capres 01 itu menegaskan dia adalah 1 persen yang bertanggung jawab untuk bangsa. Lontaran Prabowo tersebut menjawab pertanyaan cawapres Ma'ruf Amin yang menyebut Prabowo-Sandi adalah salah satu dari 1 persen elite yang menguasai ekonomi Indonesia.Â  ""Selalu saya katakan, saya memang bagian dari satu persen itu. Tapi saya siap jiwa raga menyerahkan untuk negara jika memang untuk kepentingan bangsa,"" ujar Prabowo, Sabtu (13/4/2019). Prabowo menyatakan, pemerataan harus dilakukan. Caranya dengan menciptakan banyak lapangan kerja.Â  ""Rakyat harus mendalami sciente enginering. Harus bisa beli susuÂ dari SD hingga SMP - SMA,"" ujarnya. Program susu ini, kata dia sudah dilakukan di DKI dengan menggandeng Gubernur DKI Jakarta Anies Baswedan.Â  ""Memberi makan pagi siswa SD yang kurang beruntung. Data menyebut 1 dari 3 anak tidak makan pagi karena kurang mampu,"" jelas Prabowo.",Negatif
7,Prabowo: Saya Tak Ingin Naikkan Pajak 16 Persen dalam Setahun,"Liputan6.com, Jakarta - Capres nomor urut 02 Prabowo Subianto mengatakan, pihaknya juga tak ingin menerapkan kenaikan pajak sebesar 16 persen secara sekaligus. Hal itu disebutkan Prabowo menampik anggapan Jokowi tentang metode menaikkan pajak. ""Mungkin Pak Jokowi salah menangkap, saya tak ingin menaikkan 16 persen dalam satu tahun, tapi harus ada usaha riil, salah satunya adalah dengan menerapkan sistem yang sangat transparan,"" ujar Prabowo dalam debat pamungkas Pilpres 2019 di Hotel Sultan, Jakarta, Sabtu (13/4/2019). Selain itu, lanjut Prabowo, pihaknya juga tak ingin membuat syok ekonomi. ""Namun, kita juga ingin memperkuat penerimaan pajak, agar mereka tidak lari dari penerimaan pajak,"" jelas Prabowo.",Negatif
8,Pemantau Pemilu Asing: Indonesia Seharusnya Bangga,"Jakarta, CNN Indonesia -- Pemantau pemilu yang berasal dari negara lain atau pemantau asing memuji penyelenggaraanÂ Pemilu 2019 pada 17 April 2019.Kepala Media dan Komunikasi Kedutaan Besar Malaysia untuk Indonesia, John Nickell, menyampaikan pengalamannya berkeliling ke beberapa TPS hari ini.""Ini momen fantastis bagi Indonesia dan ini momen bagi orang Indonesia seharusnya bangga terhadap praktik demokrasi yang sukses dan damai,"" kata John dalam jumpa pers Election Visit Program yang digelar KPU di Hotel Ritz Carlton, Jakarta, Rabu (17/4).  John menyatakan kagumÂ karena Indonesia bisa menggelar lima jenis pemilu secara serentak. Ia menyebut Pemilu 2019 sangat menantang dan Indonesia berhasil menjawab tantangan.Dia juga menyampaikan pemilu di Indonesia sangat besar dan rumit. Satu-satunya negara yang bisa menyaingi Pemilu 2019 Indonesia adalah India yang memiliki 900 juta pemilih.""India menyelenggarakannya sebulan, Indonesia melakukannya dalam enam jam. Jadi, ini hal yang sangat luar biasa,"" ujar dia.Di kesempatan sama, Penasihat Duta Besar Rusia untuk Indonesia Veronica Novoseltseva mengapresiasi KPU atas transparansi Pemilu 2019.""Kita menyaksikan pemungutan suara di TPS lokal di mana masyarakat umum memperlihatkan minat tinggi, partisipasi, dan cara penghitungan suara diadakan secara transparan,"" ujarnya.KPU menyelenggarakan Election Visit Program untuk menghadirkan 208 orang pemantau dari luar negeri. Program ini telah dilakukan sejak Pemilu 2004.Tercatat ada perwakilan dari Kedutaan Besar Pakistan, Malaysia, Singapura, Jerman, Amerika Serikat, Sri Lanka, Inggris, Uni Eropa, Jepang, Denmark, Finlandia, Selandia Baru, Swiss, Belanda, Irlandia, Belgia, Australia, Prancis, Polandia, Norwegia, Kanada, Swedia, Ethiopia, Mozambik, Somalia, Nigeria, Zimbabwe, Rusia, Hungaria, Italia, Filipina serta Brunei Darussalam.Sementara penyelenggara pemilu atau KPU dari negara lain yang ikut adalah Union Election Commission of Myanmar, Election Commission of Malaysia, National Electoral Commission of Timor Leste, Department of Elections Sri Lanka, Election Commission of Bhutan, Election Commission of Nepal, Central Election Commission of Uzbekistan, Election Commission of Pakistan, Election Commission of Russia, Election Commission of Bangladesh, Election Commission of Afghanistan.Lalu NGO internasional yang ikut adalah International Federation for Electoral Systems (IFES), Asian Network for Free Elections (ANFREL), Association of World Election Bodies (WEB), United States Agency for International Development (USAID), International Republican Institute (IRI), National Democratic Institute (NDI), World Bank Group dan World Bank. NGO dalam negeri antara lain Perkumpulan untuk Pemilu dan Demokrasi (Perludem), Indonesia Corruption Watch (ICW), Komite Independen Pemantau Pemilu (KIPP), Indonesian Parliamentary Center (IPC), Forum Indonesia untuk Transparansi Anggaran (Fitra) serta Pusat Pemilihan Umum Akses Penyandang Cacat (PPUA Penca).",Positif
9,Suara Jokowi-Ma'ruf unggul di Vietnam,"Jakarta (ANTARA) - Pasangan Capres dan Cawapres Nomor Urut 01 Joko Widodo-Ma'ruf Amin unggul dalam perolehan suara pemilu luar negeri 2019 yang diselenggarakan di Vietnam, seperti disampaikan dalam keterangan tertulis Panitia Pemilihan Luar Negeri (PPLN) Hanoi yang diterima di Jakarta, Rabu.  Pasangan Jokowi-Ma'ruf unggul dengan total perolehan suara sebanyak 161 suara, sementara pasangan Capres-Cawapres Nomor Urut 02 Prabowo Subianto-Sandiaga Uno memperoleh 63 suara.  Pasangan nomor urut 01 Jokowi-Ma'ruf unggul di Vietnam dengan perolehan 70,6 persen dari total suara dibandingkan pasangan nomor urut 02 Prabowo-Sandi yang hanya 27,6 persen.  Metode pemungutan suara Pemilu 2019 di Vietnam yang dilakukan oleh PPLN Hanoi adalah mencoblos langsung di tempat pemungutan suara (TPS) dan metode pos.  Untuk perolehan suara dari metode coblos langsung di TPS KBRI Hanoi, Jokowi-Ma'ruf mendapatkan 137 suara sedangkan Prabowo-Sandi mendapatkan 60 suara.  Sementara berdasarkan perolehan suara dari metode pos, pasangan nomor urut 01 memperoleh 24 suara dan pasangan nomor urut 02 memperoleh 3 suara.  Selain itu, total surat suara yang tidak sah adalah sebanyak 4, yakni 1 surat suara tidak sah dari metode pos dan 3 surat suara tidak sah dari metode TPS.  Dengan demikian, total surat suara untuk pemilihan presiden dan wakil presiden yang digunakan oleh WNI pemilih di Vietnam adalah 228 surat suara.  Sebelumnya, WNI di Vietnam mengikuti pelaksanaan pemungutan suara Pemilihan Umum (Pemilu) 2019 di TPS di KBRI Hanoi pada Minggu, 14 April, yang berlangsung dengan tertib dan lancar.",Positif
10,Relawan Jokowi Ucapkan Terima Kasih ke Rakyat Indonesia yang Pilih 01,"Liputan6.com, Jakarta - Relawan Jokowi (ReJo) mengucapkan selamat kepada pasangan nomor urut 01 Jokowi-Ma'ruf Amin yang unggul dalam hitung cepat atau quick qount Pilpres 2019.Â ReJo juga mengucapkan terima kasih kepada seluruh rakyat Indonesia yang telah menggunakan hak pilihnya di TPS dan memilih Jokowi. ""Meski masih dalam hitung cepat namun Jokowi-Amin unggul dibanding Prabowo-Sandi,"" kata Ketua umum ReJo HM Darmizal MSÂ di hotel Acacia, Jalan Kramat Raya Jakarta Pusat, Rabu (17/4/2019). Darmizal mengatakan, kemenangan Jokowi dalam hitung cepat ini merupakan kerja seluruh rakyat Indonesia. ""Walau masih dalam bentuk hasil quick qount, kami meyakini kemenangan Jokowi-Amin ini adalah kemenangan seluruh rakyat Indonesia. Kemenangan bersama untuk Indonesia Maju. Hasil sesungguhnya, kita bersabar menunggu penetapan dari KPU,"" ungkapnya. Hampir seluruh lembaga survei, Jokowi-Amin terlihat unggul dibandingkan Prabowo. Jokowi-Amin dibeberapa lembaga survei memperoleh suara sekitar 56 persen dibanding Prabowo-Sandi sekitar 45 persen.",Negatif
